"","month","all_vehicles","new_vehicles"
"1","1996M07",18011,13169
"2","1996M08",12724,8362
"3","1996M09",11274,6737
"4","1996M10",11449,6461
"5","1996M11",10242,5289
"6","1996M12",6595,2786
"7","1997M01",21856,17521
"8","1997M02",20289,15775
"9","1997M03",20497,15961
"10","1997M04",22137,16953
"11","1997M05",21954,17024
"12","1997M06",16757,12637
"13","1997M07",18784,14036
"14","1997M08",14090,9886
"15","1997M09",12807,8366
"16","1997M10",13549,8961
"17","1997M11",12819,8424
"18","1997M12",11349,7562
"19","1998M01",24484,20608
"20","1998M02",22882,18655
"21","1998M03",22232,17987
"22","1998M04",24567,20282
"23","1998M05",23446,19155
"24","1998M06",20870,16440
"25","1998M07",20838,16702
"26","1998M08",16136,11754
"27","1998M09",13502,9168
"28","1998M10",13626,8865
"29","1998M11",12826,7821
"30","1998M12",9751,5087
"31","1999M01",20132,16434
"32","1999M02",28203,23729
"33","1999M03",32853,27844
"34","1999M04",27311,22375
"35","1999M05",27662,22874
"36","1999M06",26056,21326
"37","1999M07",26129,20901
"38","1999M08",21380,16412
"39","1999M09",18518,13828
"40","1999M10",15842,11559
"41","1999M11",14913,10413
"42","1999M12",9620,5904
"43","2000M01",26872,23807
"44","2000M02",38169,34376
"45","2000M03",39324,35331
"46","2000M04",34849,31540
"47","2000M05",36683,33026
"48","2000M06",32341,28668
"49","2000M07",27575,24295
"50","2000M08",23569,20232
"51","2000M09",18409,15359
"52","2000M10",15490,12599
"53","2000M11",13035,10120
"54","2000M12",7976,5638
"55","2001M01",22965,20622
"56","2001M02",30030,27396
"57","2001M03",30366,27505
"58","2001M04",25995,23400
"59","2001M05",27066,24200
"60","2001M06",22344,19751
"61","2001M07",21470,18802
"62","2001M08",16927,14400
"63","2001M09",11933,9865
"64","2001M10",12252,9834
"65","2001M11",9634,7602
"66","2001M12",5877,4064
"67","2002M01",20437,18219
"68","2002M02",25949,23836
"69","2002M03",27878,25755
"70","2002M04",24250,21879
"71","2002M05",25956,23336
"72","2002M06",18516,16443
"73","2002M07",20914,18378
"74","2002M08",15479,13409
"75","2002M09",12956,10803
"76","2002M10",11913,9675
"77","2002M11",9758,7366
"78","2002M12",6841,4644
"79","2003M01",23540,21243
"80","2003M02",27106,25029
"81","2003M03",25479,23278
"82","2003M04",25345,23001
"83","2003M05",23203,20544
"84","2003M06",19151,16537
"85","2003M07",20416,17647
"86","2003M08",14435,12068
"87","2003M09",12555,9988
"88","2003M10",11903,9171
"89","2003M11",8510,6021
"90","2003M12",5973,3582
"91","2004M01",23083,20870
"92","2004M02",27279,24695
"93","2004M03",29100,26239
"94","2004M04",26650,23620
"95","2004M05",23884,20622
"96","2004M06",21455,17965
"97","2004M07",22068,18443
"98","2004M08",16580,13184
"99","2004M09",14557,10933
"100","2004M10",12402,8823
"101","2004M11",10680,6540
"102","2004M12",7226,3656
"103","2005M01",27373,24079
"104","2005M02",34423,30090
"105","2005M03",33619,28898
"106","2005M04",32529,26955
"107","2005M05",29340,23958
"108","2005M06",25664,20195
"109","2005M07",24198,18729
"110","2005M08",20788,15260
"111","2005M09",16895,11334
"112","2005M10",14863,9521
"113","2005M11",12429,6658
"114","2005M12",8656,3750
"115","2006M01",35238,29962
"116","2006M02",39409,33089
"117","2006M03",38954,31800
"118","2006M04",33755,26687
"119","2006M05",33230,25565
"120","2006M06",28312,20628
"121","2006M07",26944,20017
"122","2006M08",23169,15555
"123","2006M09",18554,11491
"124","2006M10",16471,9445
"125","2006M11",13973,6620
"126","2006M12",8423,3085
"127","2007M01",42612,36016
"128","2007M02",41010,33971
"129","2007M03",42955,35139
"130","2007M04",35912,28086
"131","2007M05",35717,27138
"132","2007M06",29374,21446
"133","2007M07",29721,21849
"134","2007M08",22113,14667
"135","2007M09",17379,10539
"136","2007M10",16619,9120
"137","2007M11",13001,5872
"138","2007M12",7583,2603
"139","2008M01",45463,39065
"140","2008M02",38879,31609
"141","2008M03",32589,25844
"142","2008M04",31971,23712
"143","2008M05",25268,17285
"144","2008M06",20007,11774
"145","2008M07",30245,20262
"146","2008M08",16639,9355
"147","2008M09",14292,6838
"148","2008M10",11908,4848
"149","2008M11",8708,2707
"150","2008M12",6588,1518
"151","2009M01",19341,13084
"152","2009M02",18604,10922
"153","2009M03",17331,9306
"154","2009M04",16551,7555
"155","2009M05",14799,6864
"156","2009M06",13387,6614
"157","2009M07",12411,6009
"158","2009M08",9101,3873
"159","2009M09",8914,3563
"160","2009M10",8038,2790
"161","2009M11",6302,1674
"162","2009M12",4610,871
"163","2010M01",15595,12062
"164","2010M02",19496,14061
"165","2010M03",20711,14665
"166","2010M04",17506,11556
"167","2010M05",16173,10614
"168","2010M06",15660,10007
"169","2010M07",13928,8648
"170","2010M08",11753,6927
"171","2010M09",10135,5802
"172","2010M10",8698,4838
"173","2010M11",7148,2888
"174","2010M12",3615,1008
"175","2011M01",18701,15176
"176","2011M02",20117,15696
"177","2011M03",19307,14483
"178","2011M04",18321,13246
"179","2011M05",16185,11418
"180","2011M06",15936,10981
"181","2011M07",13496,8600
"182","2011M08",10077,5275
"183","2011M09",9034,4272
"184","2011M10",7678,3236
"185","2011M11",6872,2311
"186","2011M12",5053,1067
"187","2012M01",19770,16392
"188","2012M02",17608,13397
"189","2012M03",17171,12568
"190","2012M04",15417,11263
"191","2012M05",14412,9895
"192","2012M06",11517,7320
"193","2012M07",12113,7944
"194","2012M08",9335,5341
"195","2012M09",7916,3999
"196","2012M10",7784,3563
"197","2012M11",6670,2237
"198","2012M12",5320,1174
"199","2013M01",15814,12316
"200","2013M02",16177,11518
"201","2013M03",17600,12452
"202","2013M04",15567,10057
"203","2013M05",14996,9070
"204","2013M06",10060,4609
"205","2013M07",17426,11228
"206","2013M08",12519,6416
"207","2013M09",16659,6636
"208","2013M10",12703,4974
"209","2013M11",8860,2499
"210","2013M12",5662,1112
"211","2014M01",23701,18328
"212","2014M02",20419,14547
"213","2014M03",20328,13998
"214","2014M04",20593,14178
"215","2014M05",16799,10250
"216","2014M06",11101,5123
"217","2014M07",23211,16736
"218","2014M08",14112,8487
"219","2014M09",12395,6562
"220","2014M10",10854,5062
"221","2014M11",8435,2879
"222","2014M12",5972,1502
"223","2015M01",28318,23152
"224","2015M02",25010,19134
"225","2015M03",26614,20659
"226","2015M04",21826,16465
"227","2015M05",17212,12079
"228","2015M06",11515,6380
"229","2015M07",30359,24894
"230","2015M08",16164,11311
"231","2015M09",13291,8323
"232","2015M10",11512,6160
"233","2015M11",8866,3642
"234","2015M12",5836,1651
"235","2016M01",36096,31150
"236","2016M02",32493,26184
"237","2016M03",30739,24160
"238","2016M04",26405,19144
"239","2016M05",20866,13668
"240","2016M06",14352,7018
"241","2016M07",33861,26480
"242","2016M08",21178,13352
"243","2016M09",16915,8619
"244","2016M10",15151,6332
"245","2016M11",13261,3660
"246","2016M12",9579,1526
"247","2017M01",39619,30879
"248","2017M02",30849,21126
"249","2017M03",31755,21216
"250","2017M04",26042,16710
"251","2017M05",23171,12833
"252","2017M06",15316,5856
"253","2017M07",34558,24880
"254","2017M08",21551,11226
"255","2017M09",17605,7219
"256","2017M10",16104,5340
"257","2017M11",13775,3165
"258","2017M12",9513,1390
"259","2018M01",40139,30111
"260","2018M02",31494,20782
"261","2018M03",29725,19681
"262","2018M04",26792,15589
"263","2018M05",24481,13015
"264","2018M06",16391,5999
"265","2018M07",35534,24907
"266","2018M08",21782,11022
"267","2018M09",17116,6809
"268","2018M10",16421,5086
"269","2018M11",14024,3277
"270","2018M12",9840,1587
"271","2019M01",36756,26374
"272","2019M02",28921,18171
"273","2019M03",29547,18144
"274","2019M04",28603,17339
"275","2019M05",24783,12863
"276","2019M06",16471,6078
"277","2019M07",34829,23054
"278","2019M08",22342,10749
"279","2019M09",18853,6628
"280","2019M10",18797,5453
"281","2019M11",15682,3384
"282","2019M12",11360,1511
"283","2020M01",34577,24545
"284","2020M02",26644,17285
"285","2020M03",20755,13417
"286","2020M04",4577,2599
"287","2020M05",4664,2831
"288","2020M06",8240,3667
"289","2020M07",29907,19453
"290","2020M08",20899,10706
"291","2020M09",21050,9082
"292","2020M10",19655,7461
"293","2020M11",13701,3421
"294","2020M12",13317,2047
"295","2021M01",29808,19518
"296","2021M02",24282,15209
"297","2021M03",23895,14883
"298","2021M04",20357,11960
"299","2021M05",20112,11381
"300","2021M06",16420,8428
"301","2021M07",32149,24642
"302","2021M08",19525,12362
"303","2021M09",17458,10529
"304","2021M10",13445,7239
"305","2021M11",10476,4437
